MAURO;"MEDICO_DE_SANTAREM_LIGOU_PARA_FALAR_COM_A_DRA_NAZARE_
FOI_TRANSFERIDA_PARA_A_MESMA";RECEBIDA;Central_Estadual_de_Regulação;;HOSP._REG._DO_BAIXO_AMAZONAS_DO_PA_DR_WALDEMAR_PENNA_(Santarém);;01/09/2016__08:18:00;tatiana.andrade;
DESCONHECIDO;AO_ATENDER_CAIU_A_LIGAÇÃO;RECEBIDA;OUTROS;OUTROS;OUTROS;OUTROS;01/09/2016__08:20:00;tatiana.andrade;
CENTRAL_ESTADUAL_DE_REGULAÇÃO;LIGUEI_E_FALEI_COM_A_EVELYN_(ASSISTENTE_SOCIAL)_REFERENTE_A_PACIENTE_MARIA_CLARA_COSTA_ARAUJO,_PERGUNTEI_SE_A_PACIENTE_ESTÁ_INTERNADA,_ELA_INFORMOU_QUE_SIM,_A_PACIENTE_EUSA_SILVA_DE_SOUSA_A_UNIDADE_VAI_RECUSAR_POR_FALTA_DE_LEITO,_E_O_PACIENTE_CANDIDO_OLIVEIRA_PEDIU_PRA_DIRECIONAR_PARA_O_REGIONAL_DE_PARAGOMINAS_.;DISCADA;SAUDE_CENTER_HOSPITAL_E_MATERNIDADE_(Capanema);;Central_Estadual_de_Regulação;;01/09/2016__08:54:00;tereza.brito;
EVERALDO_;LIGOU_E_PEDIU_PRA_FALAR_COM_O_ENFERMEIRO_MARCIO_.;RECEBIDA;Central_Estadual_de_Regulação;;OUTROS;EVERALDO;01/09/2016__09:01:00;tereza.brito;
LIGAÇÃO_PARA_O_JEAN_BITAR;DRa.GEANA_PEDIU_UMA_LIGAÇÃO_PARA_O_JEAN_BITAR_POIS_NECESSITAVA_RESOLVER_UMA_PENDENCIA_DE_UM_PACIENTE_ELETIVO_CADASTRADO_E_DIRECIONAOD_PARA_O_REFERIDO_HOSPITAL;DISCADA;CENTRO_HOSPITALAR_JEAN_BITAR;;Central_Estadual_de_Regulação;;01/09/2016__08:15:00;allan.chagas;
HOSPITAL_DAS_CLINICAS_DE_BRAGANÇA;ALINE_(ASSISTENTE_SOCIAL)_LIGOU_PEDINDO_PRA_EDITAR_O_NOME_DA_PACIENTE_GISELE_DA_CUNHA_DAS_NEVES_(ERRADO)_PARA_GISELE_DA_CUNHA_DAS_MERCES,E_TAMBÉM_COMUNICOU_QUE_ESTÁ_COM_DIFICULDADE_DE_ENTRAR_NO_SPARK,PASSEI_PARA_O_MARCELO_TI_A_SITUAÇÃO,_ELE_ORIENTOU_A_ENVIAR_EMAIL_PARA_atendimento.para@siah.com.br_E_RELATAR_QUAL_O_PROBLEMA,_ENTÃO_INFORMEI_A_ALINE_O_EMAIL_E_DISSE_PRA_RELATAR_O_MOTIVO_DO_PROBLEMA_._;DISCADA;Central_Estadual_de_Regulação;;HOSPITAL_DAS_CLINICAS_DE_BRAGANÇA;;01/09/2016__09:08:00;tereza.brito;
ANA;LIGOU_PARA_FALAR_COM_A_KAMILA,_MAS_A_MESMA_NAO_ESTAVA_NA_BAIA_NO_MOMENTO;RECEBIDA;OUTROS;OUTROS;OUTROS;OUTROS;01/09/2016__09:16:00;tatiana.andrade;
REGULAÇÃO_DE_CAPITÃO_POÇO;SILVANA_LIGOU_PRA_FALAR_A_RESPEITO_DE_UM_PACIENTE_VIA_SISREG,MAS_EXPLIQUEI_QUE_PELA_CENTRAL_SISREG_É_ATÉ_28_DIAS,_QUE_ELA_TERIA_QUE_ENTRAR_EM_CONTATO_COM_O_DERE_PARA_VERIFICAR_A_POSSIBILIDADE_DE_LEITO,_ENTÃO_INFORMEI_O_CONTATO_E_O_EMAIL_DO_DERE._;RECEBIDA;Central_Estadual_de_Regulação;;HOSPITAL_MATERNIDADE_DO_POVO_CAPITAO_POCO;;01/09/2016__09:16:00;tereza.brito;
MARLUCE;LIGOU_PARA_FALAR_COM_A_DRA_NAZARE;RECEBIDA;OUTROS;ITAITUBA;OUTROS;ITAITUBA;01/09/2016__09:32:00;tatiana.andrade;
ODALEA_(TIA);LIGOU_PRA_AVISAR_QUE_MEU_CARTÃO_SANTANDER_CHEGOU_.;RECEBIDA;Central_Estadual_de_Regulação;;OUTROS;ODALEA_(TIA);01/09/2016__09:46:00;tereza.brito;
